date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:44:51	299/299	---M--	200	added ('OK')	text/plain	etag:W/%2212b-18e09f7ab56%22	https://moviegamehaven858hui8uoh.codedesign.app/robots.txt		(from )
02:44:51	299683/299683	---MCZ	200	added ('OK')	text/html	etag:%22492a3-GmyyWk65PcgsVM5hJT9WkJ2I8xY%22	https://moviegamehaven858hui8uoh.codedesign.app/	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/index.html	(from )
02:44:52	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/Users/slims/Downloads/sxd/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:53	47473/47473	---MCZ	200	added ('OK')	text/css	etag:W/%22b971-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/css/a63a29fe10a5e89e.css	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/css/a63a29fe10a5e89e.css	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:53	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:53	3793/3793	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed1-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/webpack-dfa48d46ec8ebab7.js	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/webpack-dfa48d46ec8ebab7.js	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:53	86330/86330	---MCZ	200	added ('OK')	application/javascript	etag:W/%221513a-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/main-2bde8bbd115c7241.js	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/main-2bde8bbd115c7241.js	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:53	861/861	---M--	200	added ('OK')	application/javascript	etag:W/%2235d-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/framework-acb9ef830b9b8407.js	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/framework-acb9ef830b9b8407.js	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:54	860260/860260	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d2064-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/pages/_app-b7a6694d06aefbd7.js	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/pages/_app-b7a6694d06aefbd7.js	(from https://moviegamehaven858hui8uoh.codedesign.app/)
02:44:54	10985/10985	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ae9-1939c61a447%22	https://moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/pages/%5B%5B...slug%5D%5D-482b706110dbd650.js	C:/Users/slims/Downloads/sxd/moviegamehaven858hui8uoh.codedesign.app/_next/static/chunks/pages/[[...slug]]-482b706110dbd650.js	(from https://moviegamehaven858hui8uoh.codedesign.app/)
